districts,9,2
charters,20,5
absolute,12,5
full,16,17
alter,1,15
returned,18,6
free,17,17
neglected,12,7
depriving,10,6
war,0,13
respect,5,17
off,19,14
pledge,5,5
imposing,22,5
ties,20,12
oppressions,1,8
wanting,20,22
representation,4,18
colonies,10,0
invariably,12,8
governors,5,0
swarms,12,0
effect,4,20
terms,6,16
nor,3,12
support,20,18
appealing,14,8
therefore,4,14
rest,18,13
injuries,0,23
punishment,3,9
own,18,18
hands,15,23
authority,2,2
conclude,12,10
direct,7,20
governments,7,3
be,7,14
on,17,15
them,17,20
all,14,18
contract,20,0
become,17,10
works,11,15
civilized,1,9
armies,1,10
congress,5,1
executioners,3,11
us,19,20
obtained,9,17
arbitrary,1,16
must,5,13
amount,7,15
course,15,13
laying,21,14
suffer,3,19
common,7,17
between,13,15
warned,7,9
should,6,13
trial,0,5
the,13,14
unworthy,6,9
unusual,15,7
records,10,18
independent,20,4
purpose,3,21
right,19,13
uncomfortable,13,6
human,12,4
separation,5,15
experience,15,17
marked,8,16
cutting,21,12
transient,0,21
cause,3,20
mercenaries,1,11
changed,19,9
times,15,12
english,0,20
name,17,7
certain,6,17
define,2,16
abuses,2,8
taxes,7,0
while,20,13
appropriations,8,0
interrupt,11,6
by,16,15
annihilation,12,2
importance,8,21
events,18,23
seem,14,9
guards,13,23
accordingly,3,14
civil,5,3
destructive,13,3
bands,16,22
any,6,19
shown,9,15
dangers,8,11
migration,21,23
security,22,20
equal,6,15
establishment,22,4
undistinguished,11,7
jury,0,3
among,11,20
tried,19,7
prince,17,2
design,11,19
incapable,9,7
peace,2,5
coasts,10,2
mock,5,11
entitle,6,7
unwarrantable,9,11
fatiguing,10,8
firm,19,2
government,8,4
reliance,2,13
ends,19,12
rectitude,14,0
circumstances,5,14
mankind,16,1
harass,4,8
representatives,22,1
repeatedly,8,9
connected,3,22
deaf,18,3
already,18,10
without,7,19
those,13,20
have,16,19
men,12,21
patient,6,21
long,17,12
impel,5,8
brittish,1,19
these,14,19
dependent,3,15
waging,1,13
constrained,0,17
evils,3,7
brethren,16,0
remaining,18,16
known,16,8
abolishing,0,0
citizens,8,3
boundaries,2,18
themselves,16,20
evinces,11,10
america,0,18
within,11,16
injury,1,23
endeavoured,7,7
destroyed,13,0
encourage,20,19
secure,22,19
legislatures,6,1
invested,7,23
against,13,21
that,10,12
fundamentally,10,10
necessary,4,21
most,12,18
inevitably,11,9
amongst,11,21
totally,14,10
sent,18,5
great,16,9
despotism,1,7
fellow,21,22
lives,19,16
excited,22,22
let,19,21
not,6,12
prudence,14,3
likely,13,11
just,16,11
quartering,14,23
denounces,4,6
foreigners,9,3
death,22,9
throw,22,15
levy,8,1
instrument,2,22
do,19,22
now,19,11
tyrants,0,8
therein,3,16
than,9,14
example,8,15
decent,15,9
distant,11,4
places,11,5
scarcely,13,9
dictate,1,14
hold,20,17
into,17,14
candid,15,6
suspending,7,6
stage,15,14
connections,5,23
substance,4,19
superior,20,3
declaring,5,6
ages,11,22
having,10,13
depository,21,5
british,2,20
arms,14,22
erected,9,21
political,7,4
rule,5,2
destruction,12,3
but,8,12
things,18,22
instituted,2,1
transporting,19,6
dissolve,4,17
captive,8,6
operation,5,22
refused,7,8
trade,9,5
allegiance,3,5
convulsions,1,22
kindred,17,3
over,18,15
ravaged,13,1
naturalization,5,4
barbarous,2,9
tyrant,0,7
former,20,23
paralleled,12,9
such,7,18
whereby,4,16
publish,21,3
lands,11,1
protection,21,18
pressing,22,14
legislate,2,0
king,18,0
future,19,18
train,22,10
unacknowledged,13,7
correspondence,21,1
usurpations,2,7
history,10,19
murders,4,11
armed,13,22
form,7,16
bodies,15,21
jurisdiction,3,2
act,16,5
powers,20,2
in,14,14
judiciary,1,2
general,5,19
abolish,1,0
immediate,8,20
declaration,6,6
from,15,15
here,14,12
commerce,19,5
conditions,2,21
appealed,0,4
system,4,23
laws,3,1
and,15,16
whenever,15,8
people,14,20
honor,4,5
prevent,22,17
elected,6,0
reduce,21,17
render,2,14
indian,1,20
nation,8,2
happiness,14,1
connection,3,23
away,19,15
endowed,16,4
kept,20,9
provide,21,19
merciless,0,9
houses,11,3
protecting,22,18
judges,0,2
accommodation,10,5
officers,12,22
fortunes,17,4
altering,0,16
administration,6,2
alliances,0,6
called,17,8
attend,22,21
has,17,9
inhabitants,11,0
another,12,13
inestimable,14,6
answered,19,4
when,20,11
would,7,13
relinquish,6,8
country,10,4
shall,3,13
absolved,6,10
hath,17,0
submitted,22,2
made,18,11
out,18,14
same,10,14
consanguinity,9,22
settlement,7,5
nature,13,4
judge,1,3
taking,20,14
disavow,4,7
eat,19,23
good,16,10
assume,4,12
been,18,9
unless,5,12
utterly,9,8
opinions,9,19
insurrections,0,12
